Books,# of Chapters,# of Verses,Average Verses per chapter,Author
Genesis,50,1533,30.66,
Exodus,40,1213,30.33,
Leviticus,27,859,31.81,
Numbers,36,1288,35.78,
Deuteronomy,34,959,28.21,
Joshua,24,658,27.42,
Judges,21,618,29.43,
Ruth,4,85,21.25,
1 Samuel,31,810,26.13,
2 Samuel,24,695,28.96,
1 Kings,22,816,37.09,
2 Kings,25,719,28.76,
1 Chronicles,29,942,32.48,
2 Chronicles,36,822,22.83,
Ezra,10,280,28.00,
Nehemiah,13,406,31.23,
Esther,10,167,16.70,
Job,42,1070,25.48,
Psalms,150,2461,16.41,
Proverbs,31,915,29.52,
Ecclesiastes,12,222,18.50,
Song of Solomon,8,117,14.63,
Isaiah,66,1292,19.58,
Jeremiah,52,1364,26.23,
Lamentations,5,154,30.80,
Ezekiel,48,1273,26.52,
Daniel,12,357,29.75,
Hosea,14,197,14.07,
Joel,3,73,24.33,
Amos,9,146,16.22,
Obadiah,1,21,21.00,
Jonah,4,48,12.00,
Micah,7,105,15.00,
Nahum,3,47,15.67,
Habakkuk,3,56,18.67,
Zephaniah,3,53,17.67,
Haggai,2,38,19.00,
Zechariah,14,211,15.07,
Malachi,4,55,13.75,
Matthew,28,1071,38.25,
Mark,16,678,42.38,
Luke,24,1151,47.96,
John,21,879,41.86,
Acts,28,1007,35.96,
Romans,16,433,27.06,
1 Corinthians,16,437,27.31,
2 Corinthians,13,257,19.77,
Galatians ,6,149,24.83,
Ephesians,6,155,25.83,
Philppians,4,104,26.00,
Colossians,4,95,23.75,
1 Thessalonians,5,89,17.80,
2 Thessalonians,3,47,15.67,
1 Timothy,6,113,18.83,
2 Timothy,4,83,20.75,
Titus ,3,46,15.33,
Philemon,1,25,25.00,
Hebrews,13,303,23.31,
James,5,108,21.60,
1 Peter,5,105,21.00,
2 Peter,3,61,20.33,
1 John,5,105,21.00,
2 John,1,13,13.00,
3 John,1,14,14.00,
Jude ,1,25,25.00,
Revelation,22,404,18.36,
Totals,"1,189.00","31,102.00",26.16,
